sex,geo,TIME_PERIOD,OBS_VALUE
F,IT,2016,85.6
F,IT,2017,85.2
F,IT,2018,85.6
F,IT,2019,85.8
F,IT,2020,84.5
F,LI,2009,
F,LI,2010,
F,LI,2011,
F,LI,2012,
F,LI,2013,
F,LI,2014,
F,LI,2015,
F,LI,2016,
F,LI,2017,
F,LI,2018,
F,LI,2019,
F,LI,2020,
F,LT,2009,78.7
F,LT,2010,78.9
F,LT,2011,79.3
F,LT,2012,79.6
F,LT,2013,79.6
F,LT,2014,80.1
F,LT,2015,79.7
F,LT,2016,80.1
F,LT,2017,80.5
F,LT,2018,80.7
F,LT,2019,81.2
F,LT,2020,80.1
F,LU,2009,83.3
F,LU,2010,83.5
F,LU,2011,83.6
F,LU,2012,83.8
F,LU,2013,83.9
F,LU,2014,85.2
F,LU,2015,84.7
F,LU,2016,85.4
F,LU,2017,84.4
F,LU,2018,84.6
F,LU,2019,85.2
F,LU,2020,84.5
F,LV,2009,77.7
F,LV,2010,78.0
F,LV,2011,78.8
F,LV,2012,78.9
F,LV,2013,78.9
F,LV,2014,79.4
F,LV,2015,79.5
F,LV,2016,79.6
F,LV,2017,79.7
F,LV,2018,79.7
F,LV,2019,80.1
F,LV,2020,80.0
F,ME,2009,
F,ME,2010,
F,ME,2011,
F,ME,2012,
F,ME,2013,
F,ME,2014,
F,ME,2015,
F,ME,2016,
F,ME,2017,
F,ME,2018,
F,ME,2019,
F,ME,2020,
F,MK,2009,
F,MK,2010,
F,MK,2011,
F,MK,2012,
F,MK,2013,
F,MK,2014,
F,MK,2015,
F,MK,2016,
F,MK,2017,
F,MK,2018,
F,MK,2019,
F,MK,2020,
F,MT,2009,82.7
F,MT,2010,83.6
F,MT,2011,83.0
F,MT,2012,83.0
F,MT,2013,84.0
F,MT,2014,84.3
F,MT,2015,84.1
F,MT,2016,84.4
F,MT,2017,84.6
F,MT,2018,84.6
F,MT,2019,84.6
F,MT,2020,84.5
F,NL,2009,82.9
F,NL,2010,83.0
F,NL,2011,83.1
F,NL,2012,83.0
F,NL,2013,83.2
F,NL,2014,83.5
F,NL,2015,83.2
F,NL,2016,83.2
F,NL,2017,83.4
F,NL,2018,83.4
F,NL,2019,83.7
F,NL,2020,83.1
F,NO,2009,83.2
F,NO,2010,83.3
F,NO,2011,83.6
F,NO,2012,83.5
F,NO,2013,83.8
F,NO,2014,84.2
F,NO,2015,84.2
F,NO,2016,84.2
F,NO,2017,84.3
F,NO,2018,84.5
F,NO,2019,84.7
F,NO,2020,84.9
F,PL,2009,80.1
F,PL,2010,80.7
F,PL,2011,81.1
F,PL,2012,81.1
F,PL,2013,81.2
F,PL,2014,81.7
F,PL,2015,81.6
F,PL,2016,82.0
F,PL,2017,81.8
F,PL,2018,81.7
F,PL,2019,81.9
F,PL,2020,80.7
F,PT,2009,82.8
F,PT,2010,83.2
F,PT,2011,83.8
F,PT,2012,83.6
F,PT,2013,84.0
F,PT,2014,84.4
F,PT,2015,84.3
F,PT,2016,84.3
F,PT,2017,84.6
F,PT,2018,84.5
F,PT,2019,84.8
F,PT,2020,84.1
F,RO,2009,77.7
F,RO,2010,77.7
F,RO,2011,78.2
F,RO,2012,78.1
F,RO,2013,78.7
F,RO,2014,78.7
F,RO,2015,78.6
F,RO,2016,79.1
F,RO,2017,79.0
F,RO,2018,79.2
F,RO,2019,79.5
F,RO,2020,78.3
F,RS,2009,
F,RS,2010,
F,RS,2011,
F,RS,2012,
F,RS,2013,
F,RS,2014,
F,RS,2015,
F,RS,2016,
F,RS,2017,
F,RS,2018,
F,RS,2019,
F,RS,2020,
F,SE,2009,83.5
F,SE,2010,83.6
F,SE,2011,83.8
F,SE,2012,
F,SE,2013,83.8
F,SE,2014,84.2
F,SE,2015,84.1
F,SE,2016,84.1
F,SE,2017,84.1
F,SE,2018,84.3
F,SE,2019,84.8
F,SE,2020,84.2
F,SI,2009,82.7
F,SI,2010,83.1
F,SI,2011,83.3
F,SI,2012,83.3
F,SI,2013,83.6
F,SI,2014,84.1
F,SI,2015,83.9
F,SI,2016,84.3
F,SI,2017,84.0
F,SI,2018,84.4
F,SI,2019,84.5
F,SI,2020,83.4
F,SK,2009,79.1
F,SK,2010,79.3
F,SK,2011,79.8
F,SK,2012,79.9
F,SK,2013,80.1
F,SK,2014,80.5
F,SK,2015,80.2
F,SK,2016,80.7
F,SK,2017,80.7
F,SK,2018,80.8
F,SK,2019,81.2
F,SK,2020,80.4
F,TR,2009,
F,TR,2010,
F,TR,2011,
F,TR,2012,
F,TR,2013,
F,TR,2014,
F,TR,2015,
F,TR,2016,
F,TR,2017,
F,TR,2018,
F,TR,2019,
F,TR,2020,
F,UK,2009,82.4
F,UK,2010,82.6
F,UK,2011,83.0
F,UK,2012,82.8
F,UK,2013,82.9
F,UK,2014,83.2
F,UK,2015,82.8
F,UK,2016,83.0
F,UK,2017,83.1
F,UK,2018,83.1
F,UK,2019,
F,UK,2020,
