geo,TIME_PERIOD,OBS_VALUE
LI,2011,81.9
LI,2012,82.5
LI,2013,82.5
LI,2014,82.1
LI,2015,82.7
LI,2016,82.3
LI,2017,83.7
LI,2018,83.1
LI,2019,84.3
LI,2020,81.8
LI,2021,84.4
LT,2010,73.3
LT,2011,73.7
LT,2012,74.1
LT,2013,74.1
LT,2014,74.7
LT,2015,74.6
LT,2016,74.9
LT,2017,75.8
LT,2018,76.0
LT,2019,76.5
LT,2020,75.1
LT,2021,74.5
LU,2010,80.8
LU,2011,81.1
LU,2012,81.5
LU,2013,81.9
LU,2014,82.3
LU,2015,82.4
LU,2016,82.7
LU,2017,82.1
LU,2018,82.3
LU,2019,82.7
LU,2020,82.2
LU,2021,82.8
LV,2010,73.1
LV,2011,73.9
LV,2012,74.1
LV,2013,74.3
LV,2014,74.5
LV,2015,74.8
LV,2016,74.9
LV,2017,74.9
LV,2018,75.1
LV,2019,75.7
LV,2020,75.5
LV,2021,73.4
MD,2010,69.1
MD,2011,71.0
MD,2012,71.0
MD,2013,
MD,2014,
MD,2015,
MD,2016,
MD,2017,
MD,2018,
MD,2019,
MD,2020,
MD,2021,
ME,2010,76.1
ME,2011,76.1
ME,2012,76.3
ME,2013,76.5
ME,2014,76.5
ME,2015,76.5
ME,2016,76.5
ME,2017,76.6
ME,2018,76.9
ME,2019,76.7
ME,2020,75.9
ME,2021,
MK,2010,75.0
MK,2011,75.1
MK,2012,74.9
MK,2013,75.5
MK,2014,75.5
MK,2015,75.5
MK,2016,75.4
MK,2017,76.0
MK,2018,76.7
MK,2019,76.6
MK,2020,74.4
MK,2021,
MT,2010,81.5
MT,2011,80.9
MT,2012,80.9
MT,2013,81.9
MT,2014,82.1
MT,2015,82.0
MT,2016,82.6
MT,2017,82.4
MT,2018,82.5
MT,2019,82.9
MT,2020,82.3
MT,2021,82.9
NL,2010,81.0
NL,2011,81.3
NL,2012,81.2
NL,2013,81.4
NL,2014,81.8
NL,2015,81.6
NL,2016,81.7
NL,2017,81.8
NL,2018,81.9
NL,2019,82.2
NL,2020,81.4
NL,2021,81.5
NO,2010,81.2
NO,2011,81.4
NO,2012,81.5
NO,2013,81.8
NO,2014,82.2
NO,2015,82.4
NO,2016,82.5
NO,2017,82.7
NO,2018,82.8
NO,2019,83.0
NO,2020,83.3
NO,2021,83.2
PL,2010,76.4
PL,2011,76.8
PL,2012,76.9
PL,2013,77.1
PL,2014,77.8
PL,2015,77.5
PL,2016,78.0
PL,2017,77.8
PL,2018,77.7
PL,2019,78.0
PL,2020,76.5
PL,2021,75.6
PT,2010,80.1
PT,2011,80.7
PT,2012,80.6
PT,2013,80.9
PT,2014,81.3
PT,2015,81.3
PT,2016,81.3
PT,2017,81.6
PT,2018,81.5
PT,2019,81.9
PT,2020,81.1
PT,2021,81.2
RO,2010,73.7
RO,2011,74.4
RO,2012,74.4
RO,2013,75.1
RO,2014,75.0
RO,2015,74.9
RO,2016,75.2
RO,2017,75.2
RO,2018,75.3
RO,2019,75.6
RO,2020,74.2
RO,2021,72.9
RS,2010,74.4
RS,2011,74.6
RS,2012,74.9
RS,2013,75.3
RS,2014,75.4
RS,2015,75.3
RS,2016,75.7
RS,2017,75.6
RS,2018,75.9
RS,2019,76.0
RS,2020,74.5
RS,2021,
RU,2010,68.9
RU,2011,
RU,2012,
RU,2013,
RU,2014,
RU,2015,
RU,2016,
RU,2017,
RU,2018,
RU,2019,
RU,2020,
RU,2021,
SE,2010,81.6
SE,2011,81.9
SE,2012,81.8
SE,2013,82.0
SE,2014,82.3
SE,2015,82.2
SE,2016,82.4
SE,2017,82.5
SE,2018,82.6
SE,2019,83.2
SE,2020,82.4
SE,2021,83.2
SI,2010,79.8
SI,2011,80.1
SI,2012,80.3
SI,2013,80.5
SI,2014,81.2
SI,2015,80.9
SI,2016,81.2
SI,2017,81.2
SI,2018,81.5
SI,2019,81.6
SI,2020,80.6
SI,2021,80.9
SK,2010,75.6
SK,2011,76.1
SK,2012,76.3
SK,2013,76.6
SK,2014,77.0
SK,2015,76.7
SK,2016,77.3
SK,2017,77.3
SK,2018,77.4
SK,2019,77.8
SK,2020,77.0
SK,2021,74.8
SM,2010,
SM,2011,
SM,2012,85.6
SM,2013,
SM,2014,
SM,2015,
SM,2016,
SM,2017,
SM,2018,
SM,2019,
SM,2020,
SM,2021,
TR,2010,76.8
TR,2011,77.1
TR,2012,77.6
TR,2013,78.2
TR,2014,78.1
TR,2015,78.2
TR,2016,78.1
TR,2017,78.5
TR,2018,78.9
TR,2019,79.1
TR,2020,
TR,2021,
UA,2010,70.3
UA,2011,71.1
UA,2012,71.2
UA,2013,
UA,2014,71.8
UA,2015,72.5
UA,2016,72.9
UA,2017,73.3
UA,2018,73.2
UA,2019,73.4
UA,2020,
UA,2021,
UK,2010,80.6
UK,2011,81.0
UK,2012,81.0
UK,2013,81.1
UK,2014,81.4
UK,2015,81.0
UK,2016,81.2
UK,2017,81.3
UK,2018,81.3
UK,2019,
UK,2020,
UK,2021,
XK,2010,
XK,2011,
XK,2012,
XK,2013,
XK,2014,
XK,2015,
XK,2016,78.6
XK,2017,
XK,2018,
XK,2019,
XK,2020,
XK,2021,
