sex,geo,TIME_PERIOD,OBS_VALUE
M,SI,2010,76.4
M,SI,2011,76.8
M,SI,2012,77.1
M,SI,2013,77.2
M,SI,2014,78.2
M,SI,2015,77.8
M,SI,2016,78.2
M,SI,2017,78.2
M,SI,2018,78.5
M,SI,2019,78.7
M,SI,2020,77.8
M,SK,2009,71.4
M,SK,2010,71.8
M,SK,2011,72.3
M,SK,2012,72.5
M,SK,2013,72.9
M,SK,2014,73.3
M,SK,2015,73.1
M,SK,2016,73.8
M,SK,2017,73.8
M,SK,2018,73.9
M,SK,2019,74.3
M,SK,2020,73.5
M,TR,2009,
M,TR,2010,
M,TR,2011,
M,TR,2012,
M,TR,2013,
M,TR,2014,
M,TR,2015,
M,TR,2016,
M,TR,2017,
M,TR,2018,
M,TR,2019,
M,TR,2020,
M,UK,2009,78.3
M,UK,2010,78.6
M,UK,2011,79.0
M,UK,2012,79.1
M,UK,2013,79.2
M,UK,2014,79.5
M,UK,2015,79.2
M,UK,2016,79.4
M,UK,2017,79.5
M,UK,2018,79.5
M,UK,2019,
M,UK,2020,
